deep, 深い
quick, 素早い
schedule, スケジュール
suddenly, 突然
low, 低い
hurry, 急ぐ
announcement, 案内放送
probably, おそらく
collect, 集める
slowly, ゆっくりと
fresh, 新鮮な
flag, 旗
bakery, パン屋
special, 特別な
rain forest, 熱帯雨林
recycling, リサイクル
noise, 騒音
convenient, 便利な
history, 歴史
taste, 味
pick, 摘み取る
quietly, 静かに
whole, 全体の
concert, コンサート
contest, コンテスト
exercise, 運動
hobby, 趣味
business hours, 営業時間
uniform, 制服
vacation, 休暇
factory, 工場
idea, 考え
secret, 秘密
dish, 料理
actress, 女優
notice, 気づく
pass, (試験に)合格する
vegetable, 野菜
trick, いたずら
lovely, すてきな
snack, 軽食
washing machine, 洗濯機
dentist, 歯医者
join, 参加する
space, 宇宙
necklace, ネックレス
busy, 忙しい
fireworks, 花火
rainy, 雨の
part-time job, アルバイト
screen, 画面
race, 競走
problem, 問題
remember, 覚えている
heavy, 重い
work, 仕事
number, 数
wear, 着る
customer, 客
actor, 俳優
worried, 心配した
machine, 機械
area, 地域
memory, 思い出
crowded, 混雑した
plate, 皿
luckily, 幸運にも
clearly, はっきりと
essay, 随筆
dark, 暗い
wet, ぬれた
choose, 選ぶ
easily, 簡単に
perfect, 完璧な
activity, 活動
impossible, 不可能な
question, 質問
neighbor, 近所の人
mean, 意味する
university, 大学
hit, 打つ
anywhere, どこにも
lonely, 寂しい
fight, 戦う
dangerous, 危険な
carefully, 注意深く
sell, 売る
trash, ごみ
fitting room, 試着室
important, 重要な
move, 動かす
bake, (パンなどを)焼く
ride, 乗る
graduate, 卒業する
forest, 森
admission, 入場
quiet, 静かな
cross, 横切る
farm, 農場
alone, ひとりで
information, 情報
lose, 失う
oversleep, 寝過ごす
ruler, 定規
elementary school, 小学校
scientist, 科学者
language, 言語
finally, ついに
glove, 手袋
possible, 可能な
accident, 事故
check, 検査する
crosswalk, 横断歩道
inside, 内側に
hurt, 傷つける
museum, 博物館
fix, 修理する
healthy, 健康な
favorite, お気に入りの
field, 野原
funny, おもしろい
examination, 試験
convenience store, コンビニエンスストア
grow, 成長する
own, 自分自身の
fall, 落ちる
free, 無料の
wonderful, すばらしい
contact, 連絡する
nature, 自然
push, 押す
boil, 沸かす
farmer, 農場経営者
condition, 状態
happen, 起こる
practice, 練習
smell, 匂い
chance, 機会
laugh, 笑う
rest, 休憩
subject, 教科
already, すでに
section, 部門
nurse, 看護師
refrigerator, 冷蔵庫
painting, 絵画
tradition, 伝統
tie, ネクタイ
artist, 芸術家
walk, 歩く
burn, 燃やす
homesick, ホームシック
price, 値段
scissors, はさみ
friendly, 親しみやすい
drop, 落とす
sweater, セーター
different, 異なる
later, 後で
bright, 明るい
climb, 登る
mirror, 鏡
envelope, 封筒
spicy, 辛い
stomach, 胃
plan, 計画
promise, 約束
carry, 運ぶ
headache, 頭痛
shine, 輝く
manager, 支配人
cell phone, 携帯電話
project, 計画
useful, 役に立つ
ceremony, 式典
hungry, 空腹な
fair, 公正な
peaceful, 平和な
pain, 痛み
stadium, 競技場
discount, 割引
information desk, 案内所
shy, 恥ずかしがりの
maybe, もしかすると
stamp, 切手
subway, 地下鉄
forget, 忘れる
performance, 公演
reason, 理由
behind, 後ろに
adult, 大人
end, 終わり
environment, 環境
sign, 標識
flavor, 味
sunny, 晴れた
cloudy, 曇った
collection, 収集
leg, 脚
sleepy, 眠い
attraction, 呼び物
dessert, デザート
stomachache, 腹痛
