clock, 時計
elementary school, 小学校
grade, 学年
page, ページ
fishing, 魚釣り
camping, キャンプすること
Halloween, ハロウィーン
king, 王
shoulder, 肩
waitress, ウエートレス
dancer, ダンスをする人
dentist, 歯科医
guest, 客
pet, ペット
DVD, ディーブイディー
calendar, カレンダー
album, アルバム
chopstick, はし
toothbrush, 歯ブラシ
cooking, 料理
chocolate, チョコレート
pie, パイ
beef, 牛肉
tomato, トマト
chicken, トリ肉
snack, スナック
stew, シチュー
onion, タマネギ
sausage, ソーセージ
steak, ステーキ
watermelon, スイカ
salt, 塩
butter, バター
sugar, 砂糖
rose, バラ
whale, クジラ
elephant, ゾウ
hamster, ハムスター
penguin, ペンギン
puppy, 子犬
air, 空気
horse, 馬
moon, 月
concert, 音楽会
band, 楽団
clarinet, クラリネット
musical, ミュージカル
shoes, くつ
socks, くつ下
costume, 衣装
ring, 指輪
skirt, スカート
tie, ネクタイ
Hawaii, ハワイ州
Italy, イタリア
Chicago, シカゴ
Thailand, タイ
badminton, バドミントン
cycling, サイクリング
hockey, ホッケー
office, 事務所
sale, 販売
front, 正面
center, 中心
line, 線
parade, パレード
passport, パスポート
poster, ポスター
step, 一歩
action, 行動
haircut, 散髪
hairstyle, 髪型
luck, 運
monster, 怪物
seat, 座席
title, 表題
full, いっぱいの
easy, やさしい
heavy, 重い
professional, プロの
angry, 怒った
dirty, 汚い
rich, 金持ちの
slow, 遅い
social, 社会の
low, 低い
lucky, 運のよい
